Id,PostTypeId,Score,AcceptedAnswerId
4,1,322,7
6,1,140,31
7,2,242,NULL
9,1,862,1404
11,1,817,1248
12,2,240,NULL
13,1,319,357
14,1,208,NULL
16,1,42,12446
17,1,68,26
18,2,22,NULL
19,1,164,531
21,2,14,NULL
22,2,7,NULL
24,1,55,49
25,1,55,1443907
26,2,51,NULL
27,2,16,NULL
29,2,24,NULL
30,2,10,NULL
31,2,67,NULL
33,2,279,NULL
34,1,29,NULL
36,1,72,352
37,2,15,NULL
39,1,35,45
42,1,155,77
44,2,6,NULL
45,2,23,NULL
48,1,131,31910
49,2,20,NULL
51,2,13,NULL
52,2,7,NULL
53,2,12,NULL
56,2,29,NULL
58,2,34,NULL
59,1,37,43110
60,2,7,NULL
61,1,15,NULL
62,2,33,NULL
65,2,6,NULL
66,1,39,4521
68,2,45,NULL
71,2,43,NULL
72,1,16,NULL
73,2,5,NULL
76,2,3,NULL
77,2,89,NULL
78,2,27,NULL
79,1,17,62853
80,1,17,124
81,2,7,NULL
82,2,7,NULL
84,2,3,NULL
85,1,56,154
86,2,61,NULL
87,2,5,NULL
88,1,53,98
89,2,1,NULL
90,1,133,NULL
92,2,12,NULL
93,2,1,NULL
97,2,16,NULL
98,2,40,NULL
99,2,4,NULL
100,2,12,NULL
103,2,29,NULL
104,1,110,112
107,2,6,NULL
108,1,28,111
109,1,20,2585
110,2,3,NULL
111,2,33,NULL
112,2,78,NULL
113,2,4,NULL
114,2,7,NULL
116,2,2,NULL
120,1,15,NULL
123,1,48,183
124,2,7,NULL
126,1,33,127
127,2,37,NULL
128,2,7,NULL
129,1,51,NULL
133,2,0,NULL
134,1,9,206
135,2,3,NULL
139,2,5,NULL
141,2,1,NULL
142,2,2,NULL
143,2,3,NULL
145,1,14,NULL
146,1,24,152
147,2,13,NULL
148,2,0,NULL
149,2,5,NULL
151,2,12,NULL
152,2,17,NULL
153,2,4,NULL
154,2,38,NULL
155,2,3,NULL
158,2,16,NULL
159,2,20,NULL
160,2,48,NULL
161,2,9,NULL
163,1,61,170
164,1,30,699
165,2,1,NULL
166,2,20,NULL
167,2,1,NULL
169,2,30,NULL
170,2,21,NULL
173,1,198,516
174,1,38,NULL
175,1,21,NULL
176,1,54,207
180,1,39,539
183,2,35,NULL
186,2,2,NULL
190,2,4,NULL
192,1,29,258
194,1,14,197
195,2,25,NULL
197,2,4,NULL
199,2,0,NULL
206,2,6,NULL
207,2,56,NULL
210,2,21,NULL
212,2,6,NULL
227,1,31,2943318
229,2,18,NULL
231,1,15,1812
233,2,9,NULL
234,1,35,12202
235,2,2,NULL
236,2,4,NULL
238,2,12,NULL
243,2,10,NULL
246,1,11,176741
253,2,21,NULL
258,2,13,NULL
260,1,36,307
263,1,13,607
264,1,13,NULL
265,1,14,266
266,2,15,NULL
268,2,1,NULL
269,2,2,NULL
274,2,3,NULL
276,2,3,NULL
283,2,0,NULL
289,1,402,298
290,2,0,NULL
291,2,101,NULL
292,2,39,NULL
297,2,7,NULL
298,2,282,NULL
304,2,1,NULL
307,2,20,NULL
308,1,73,360
310,2,6,NULL
328,1,126,7488
329,2,15,NULL
330,1,18,332
331,2,11,NULL
332,2,12,NULL
335,2,3,NULL
336,1,27,339
337,1,40,342
338,2,2,NULL
339,2,29,NULL
342,2,12,NULL
344,2,3,NULL
347,2,2,NULL
352,2,49,NULL
354,2,0,NULL
356,2,3,NULL
357,2,-10,NULL
359,2,3,NULL
360,2,36,NULL
361,1,90,362
362,2,35,NULL
363,2,2,NULL
364,2,4,NULL
367,2,32,NULL
368,2,3,NULL
371,1,306,396
375,2,16,NULL
382,1,28,384
384,2,31,NULL
387,1,21,NULL
388,2,2,NULL
391,2,12,NULL
392,2,5,NULL
396,2,241,NULL
397,2,1,NULL
402,1,67,2530953
407,2,2,NULL
411,2,14,NULL
412,2,1,NULL
419,1,16,17396
427,1,10,NULL
430,2,6,NULL
438,1,28,77397
451,2,6,NULL
467,2,8,NULL
469,1,8,3040
470,1,8,473
471,2,24,NULL
473,2,5,NULL
482,1,22,509
483,2,20,NULL
497,2,1,NULL
502,1,17,7090
509,2,22,NULL
514,1,10,519
516,2,125,NULL
518,2,0,NULL
519,2,3,NULL
521,2,3,NULL
522,2,5,NULL
525,2,1,NULL
529,2,2,NULL
530,2,0,NULL
531,2,110,NULL
532,2,0,NULL
535,1,30,541
536,2,6,NULL
537,2,2,NULL
538,2,21,NULL
539,2,14,NULL
540,2,1,NULL
541,2,15,NULL
549,1,3049,477578
551,2,3,NULL
555,2,241,NULL
561,1,10,794
562,1,19,NULL
564,1,101,566
566,2,102,NULL
568,2,75,NULL
576,2,20,NULL
580,1,16,586
582,2,11,NULL
583,2,4,NULL
585,2,10,NULL
586,2,14,NULL
588,1,29,633
589,2,0,NULL
590,2,1,NULL
591,2,2,NULL
594,1,11,595
595,2,14,NULL
597,2,1,NULL
598,2,14,NULL
599,2,1,NULL
600,2,1,NULL
601,1,19,602
602,2,18,NULL
605,2,7,NULL
607,2,9,NULL
608,2,16,NULL
609,1,9,NULL
611,2,3,NULL
619,2,4,NULL
622,1,31,623
623,2,32,NULL
626,1,234,723
629,2,33,NULL
633,2,12,NULL
635,2,2,NULL
644,1,24,665
645,2,0,NULL
650,1,61,655
651,1,14,725
655,2,57,NULL
657,1,12,669
660,2,13,NULL
665,2,3,NULL
667,2,6,NULL
669,2,16,NULL
676,2,16,NULL
679,2,4,NULL
681,2,3,NULL
683,1,16,57833
684,2,1,NULL
691,2,9,NULL
693,2,5,NULL
695,2,9,NULL
696,1,14,704
699,2,29,NULL
701,2,2,NULL
704,2,8,NULL
705,1,17,707
707,2,17,NULL
709,1,28,713
710,2,4,NULL
712,2,14,NULL
713,2,32,NULL
717,1,11,799
718,2,5,NULL
723,2,280,NULL
725,2,12,NULL
730,2,3,NULL
735,2,-2,NULL
737,2,6,NULL
742,1,22,33957
745,2,8,NULL
746,1,13,NULL
747,2,14,NULL
749,2,3,NULL
750,2,2,NULL
751,2,-1,NULL
752,1,263,755
753,2,26,NULL
754,2,3,NULL
755,2,358,NULL
759,2,6,NULL
761,1,6,762
762,2,1,NULL
763,2,0,NULL
764,2,0,NULL
766,1,9,1619
768,2,20,NULL
769,1,20,781
770,2,4,NULL
771,2,8,NULL
773,1,148,7286
774,2,2,NULL
777,2,5,NULL
781,2,14,NULL
783,2,41,NULL
787,2,3,NULL
791,2,1,NULL
794,2,9,NULL
795,2,9,NULL
797,2,125,NULL
798,2,3,NULL
799,2,13,NULL
802,2,3,NULL
805,1,5,894
810,1,7,820
817,2,7,NULL
818,2,0,NULL
820,2,3,NULL
826,1,8,97294
829,2,4,NULL
832,1,6,837
833,1,9,838
834,2,-4,NULL
835,1,5,1023
836,2,1,NULL
837,2,3,NULL
838,2,5,NULL
840,2,0,NULL
845,1,57,849
849,2,34,NULL
850,2,5,NULL
855,1,7,858
858,2,7,NULL
859,2,4,NULL
870,2,0,NULL
871,1,394,875
873,2,55,NULL
875,2,550,NULL
876,2,26,NULL
877,2,8,NULL
879,1,75,885
880,2,-4,NULL
881,2,8,NULL
884,2,3,NULL
885,2,108,NULL
886,2,5,NULL
887,2,21,NULL
888,1,299,890
889,2,13,NULL
890,2,110,NULL
891,2,0,NULL
893,2,6,NULL
894,2,6,NULL
895,2,1,NULL
896,2,17,NULL
897,2,3,NULL
898,1,38,NULL
904,1,37,911
905,1,4,942
906,2,7,NULL
908,2,1,NULL
910,2,145,NULL
911,2,41,NULL
912,2,12,NULL
918,1,87,1203
921,2,14,NULL
922,2,27,NULL
930,1,25,951
931,2,12,NULL
935,1,55,938
936,2,8,NULL
938,2,61,NULL
939,2,1,NULL
940,2,14,NULL
942,2,4,NULL
943,2,16,NULL
944,1,11,1016
945,2,1,NULL
947,1,9,1028
950,2,2,NULL
951,2,23,NULL
952,2,10,NULL
964,2,4,NULL
971,2,1,NULL
972,1,242,2982
981,2,0,NULL
982,2,8,NULL
984,2,0,NULL
986,2,2,NULL
990,2,0,NULL
1001,2,4,NULL
1005,1,156,37042
1006,2,0,NULL
1010,1,8,1074
1012,2,6,NULL
1016,2,8,NULL
1022,2,8,NULL
1023,2,4,NULL
1024,1,9,171170
1025,2,0,NULL
1026,2,7,NULL
1028,2,5,NULL
1033,1,44,1056
1034,2,8,NULL
1037,1,17,1039
1039,2,22,NULL
1040,1,37,1044
1041,1,10,17198991
1042,1,7,1061
1043,2,2,NULL
1044,2,28,NULL
1047,2,0,NULL
1049,2,4,NULL
1050,2,1,NULL
1051,2,10,NULL
1053,1,7,394225
1054,2,5,NULL
1055,2,5,NULL
1056,2,33,NULL
1057,2,3,NULL
1061,2,7,NULL
1062,2,1,NULL
1064,1,5,1096
1065,2,22,NULL
1066,2,3,NULL
1069,1,36,1073
1070,1,11,1773
1071,2,0,NULL
1072,2,0,NULL
1073,2,17,NULL
1074,2,5,NULL
1077,2,0,NULL
1082,2,1,NULL
1083,1,15,42406
1086,2,0,NULL
1090,2,3,NULL
1092,2,4,NULL
1093,2,2,NULL
1095,2,1,NULL
1096,2,5,NULL
1104,1,12,1109
1108,1,696,1130
1109,2,19,NULL
1114,2,3,NULL
1120,2,2,NULL
1121,2,2,NULL
1123,2,2,NULL
1130,2,1349,NULL
1131,1,24,1135
1132,2,3,NULL
1135,2,10,NULL
1136,2,0,NULL
1141,2,2,NULL
1142,2,0,NULL
1145,1,3,1154
1147,2,1,NULL
1148,2,9,NULL
1149,2,4,NULL
1153,2,2,NULL
1154,2,6,NULL
1155,2,1,NULL
1156,1,26,1157
1157,2,37,NULL
1159,2,0,NULL
1160,1,31,975299
1163,2,2,NULL
1164,2,2,NULL
1168,2,3,NULL
1169,2,13,NULL
1171,1,34,28705
1172,2,3,NULL
1174,2,2,NULL
1175,2,1,NULL
1176,1,20,1186
1180,1,12,1232
1183,2,1,NULL
1185,2,1,NULL
1186,2,17,NULL
1187,2,7,NULL
1189,1,4,1190
1190,2,0,NULL
1191,2,1,NULL
1202,2,2,NULL
1203,2,52,NULL
1216,2,2,NULL
1226,2,2,NULL
1229,1,6,NULL
1232,2,10,NULL
1235,2,3,NULL
1236,2,3,NULL
1237,1,25,1243
1238,2,2,NULL
1240,2,44,NULL
1241,1,7,1275
1242,2,13,NULL
1243,2,14,NULL
1248,2,561,NULL
1252,2,0,NULL
1257,2,3,NULL
1260,2,1,NULL
1261,1,37,1272
1263,2,4,NULL
1264,2,17,NULL
1265,2,2,NULL
1266,2,16,NULL
1269,2,7,NULL
1272,2,24,NULL
1275,2,3,NULL
1276,1,145,1338
1278,2,12,NULL
1281,2,4,NULL
1284,1,11,NULL
1290,2,8,NULL
1292,1,39,1305
